x_final,y_final,x,y,theta,input
-0.57,1.134,0.469730144,-0.041570473,0.055622188,0.999932604
-0.57,1.134,0.494552446,-0.039878396,0.08050242,0.999938778
-0.57,1.134,0.519324971,-0.037569321,0.105382795,0.999943982
-0.57,1.134,0.544032383,-0.034644672,0.130263289,0.999948423
-0.57,1.134,0.568659389,-0.031106258,0.155143887,0.999952255
-0.57,1.134,0.593190744,-0.026956267,0.180024573,0.999955593
-0.57,1.134,0.617611263,-0.022197265,0.204905338,0.999958524
-0.57,1.134,0.641905827,-0.016832197,0.229786171,0.999961116
-0.57,1.134,0.666059398,-0.010864382,0.254667065,0.999963423
-0.57,1.134,0.690057023,-0.004297513,0.279548014,0.999965489
-0.57,1.134,0.713883848,0.002864346,0.304429011,0.999967347
-0.57,1.134,0.737525122,0.010616763,0.329310053,0.999969028
-0.57,1.134,0.76096621,0.018954939,0.354191134,0.999970553
-0.57,1.134,0.784192601,0.027873715,0.379072252,0.999971943
-0.57,1.134,0.807189917,0.037367569,0.403953403,0.999973214
-0.57,1.134,0.829943921,0.047430626,0.428834584,0.99997438
-0.57,1.134,0.852440527,0.058056657,0.453715793,0.999975453
-0.57,1.134,0.874665808,0.069239084,0.478597027,0.999976443
-0.57,1.134,0.896606006,0.080970985,0.503478285,0.999977358
-0.57,1.134,0.918247539,0.093245099,0.528359566,0.999978207
-0.57,1.134,0.939577009,0.106053827,0.553240866,0.999978995
-0.57,1.134,0.960581211,0.119389241,0.578122186,0.99997973
-0.57,1.134,0.981247144,0.133243086,0.603003523,0.999980414
-0.57,1.134,1.001562014,0.147606786,0.627884877,0.999981054
-0.57,1.134,1.021513244,0.162471449,0.652766246,0.999981653
-0.57,1.134,1.041088483,0.177827875,0.677647629,0.999982214
-0.57,1.134,1.060275614,0.193666556,0.702529026,0.999982741
-0.57,1.134,1.079062758,0.209977688,0.727410436,0.999983236
-0.57,1.134,1.097438284,0.226751174,0.752291858,0.999983701
-0.57,1.134,1.115390818,0.24397663,0.777173291,0.99998414
-0.57,1.134,1.132909245,0.261643393,0.802054734,0.999984554
-0.57,1.134,1.14998272,0.279740527,0.826936188,0.999984945
-0.57,1.134,1.166600673,0.298256828,0.851817651,0.999985314
-0.57,1.134,1.182752818,0.317180834,0.876699123,0.999985664
-0.57,1.134,1.198429155,0.336500831,0.901580603,0.999985995
-0.57,1.134,1.213619979,0.356204858,0.926462092,0.999986308
-0.57,1.134,1.228315886,0.376280717,0.951343588,0.999986605
-0.57,1.134,1.242507778,0.396715981,0.976225091,0.999986887
-0.57,1.134,1.256186869,0.417497998,1.001106601,0.999987154
-0.57,1.134,1.269344692,0.438613904,1.025988118,0.999987409
-0.57,1.134,1.2819731,0.460050628,1.05086964,0.99998765
-0.57,1.134,1.294064277,0.481794897,1.075751169,0.99998788
-0.57,1.134,1.305610735,0.503833252,1.100632703,0.999988098
-0.57,1.134,1.316605329,0.526152049,1.125514243,0.999988306
-0.57,1.134,1.32704125,0.548737473,1.150395787,0.999988503
-0.57,1.134,1.336912039,0.57157554,1.175277336,0.999988692
-0.57,1.134,1.346211584,0.594652114,1.20015889,0.999988871
-0.57,1.134,1.35493413,0.617952908,1.225040448,0.999989042
-0.57,1.134,1.363074275,0.641463498,1.249922011,0.999989204
-0.57,1.134,1.37062698,0.665169329,1.274803577,0.999989359
-0.57,1.134,1.37758757,0.689055727,1.299685147,0.999989506
-0.57,1.134,1.383951737,0.713107903,1.324566721,0.999989647
-0.57,1.134,1.389715538,0.737310969,1.349448298,0.99998978
-0.57,1.134,1.394875408,0.76164994,1.374329878,0.999989908
-0.57,1.134,1.39942815,0.786109751,1.399211462,0.999990029
-0.57,1.134,1.403370948,0.810675258,1.424093048,0.999990144
-0.57,1.134,1.406701359,0.835331255,1.448974637,0.999990253
-0.57,1.134,1.409417322,0.860062477,1.473856229,0.999990358
-0.57,1.134,1.411517156,0.884853614,1.498737823,0.999990456
-0.57,1.134,1.412999561,0.90968932,1.52361942,0.99999055
-0.57,1.134,1.413863618,0.934554219,1.548501019,0.999990639
-0.57,1.134,1.414108793,0.959432918,1.57338262,0.999990724
-0.57,1.134,1.413734935,0.984310017,1.598264224,0.999990803
-0.57,1.134,1.412742273,1.009170114,1.623145829,0.999990879
-0.57,1.134,1.411131424,1.033997819,1.648027436,0.99999095
-0.57,1.134,1.408903384,1.058777763,1.672909044,0.999991017
-0.57,1.134,1.406059532,1.083494606,1.697790655,0.99999108
-0.57,1.134,1.402601629,1.108133046,1.722672266,0.999991139
-0.57,1.134,1.398531816,1.13267783,1.74755388,0.999991194
-0.57,1.134,1.393852611,1.157113763,1.772435494,0.999991246
-0.57,1.134,1.388566912,1.181425719,1.79731711,0.999991294
-0.57,1.134,1.382677991,1.205598646,1.822198727,0.999991338
-0.57,1.134,1.376189493,1.22961758,1.847080345,0.999991379
-0.57,1.134,1.369105436,1.253467652,1.871961964,0.999991417
-0.57,1.134,1.361430203,1.277134096,1.896843584,0.999991451
-0.57,1.134,1.353168548,1.300602263,1.921725205,0.999991482
-0.57,1.134,1.344325585,1.323857624,1.946606826,0.99999151
-0.57,1.134,1.334906787,1.346885781,1.971488448,0.999991534
-0.57,1.134,1.324917985,1.36967248,1.996370071,0.999991556
-0.57,1.134,1.314365364,1.392203614,2.021251694,0.999991574
-0.57,1.134,1.303255456,1.414465234,2.046133317,0.999991589
-0.57,1.134,1.291595139,1.43644356,2.071014941,0.999991601
-0.57,1.134,1.279391631,1.458124985,2.095896565,0.99999161
-0.57,1.134,1.266652487,1.479496087,2.12077819,0.999991616
-0.57,1.134,1.253385593,1.500543636,2.145659814,0.999991619
-0.57,1.134,1.239599163,1.521254603,2.170541439,0.999991619
-0.57,1.134,1.225301731,1.541616165,2.195423063,0.999991616
-0.57,1.134,1.210502147,1.561615719,2.220304688,0.99999161
-0.57,1.134,1.195209575,1.581240882,2.245186312,0.999991601
-0.57,1.134,1.17943348,1.600479506,2.270067936,0.999991589
-0.57,1.134,1.16318363,1.61931968,2.294949559,0.999991574
-0.57,1.134,1.146470084,1.637749742,2.319831182,0.999991555
-0.57,1.134,1.129303189,1.655758282,2.344712805,0.999991534
-0.57,1.134,1.111693572,1.673334151,2.369594427,0.999991509
-0.57,1.134,1.093652135,1.69046647,2.394476048,0.999991482
-0.57,1.134,1.075190046,1.707144632,2.419357669,0.999991451
-0.57,1.134,1.056318735,1.723358312,2.444239289,0.999991416
-0.57,1.134,1.037049885,1.739097473,2.469120908,0.999991379
-0.57,1.134,1.017395423,1.754352372,2.494002526,0.999991338
-0.57,1.134,0.997367518,1.769113564,2.518884143,0.999991293
