xP,yP,thetaP,inputP,xE,yE,thetaE,inputE
6.274561934,3.851618051,0.572229815,1.89E-16,7.909398061,4.898931265,0.574860239,0.000951728
6.321284065,3.881712661,0.572229815,-6.61E-16,7.932623716,4.913977952,0.574861127,-0.00088759
6.368006195,3.911807272,0.572229815,-4.88E-16,7.955849371,4.92902464,0.574860299,0.000827775
6.414728325,3.941901883,0.572229815,-3.71E-16,7.979075026,4.944071327,0.574861071,-0.000771993
6.461450456,3.971996493,0.572229815,-5.57E-16,8.002300681,4.959118015,0.574860351,0.000719972
6.508172586,4.002091104,0.572229815,5.33E-16,8.025526337,4.974164702,0.574861022,-0.000671459
6.554894716,4.032185714,0.572229815,-2.82E-16,8.048751992,4.98921139,0.574860396,0.000626217
6.601616846,4.062280325,0.572229815,-4.91E-16,8.071977647,5.004258077,0.57486098,-0.000584025
6.648338977,4.092374936,0.572229815,-1.46E-16,8.095203302,5.019304765,0.574860436,0.000544679
6.695061107,4.122469546,0.572229815,-4.39E-16,8.118428957,5.034351452,0.574860943,-0.000507987
6.741783237,4.152564157,0.572229815,-2.93E-16,8.141654612,5.049398139,0.57486047,0.000473769
6.788505367,4.182658767,0.572229815,-7.69E-16,8.164880267,5.064444827,0.574860911,-0.00044186
6.835227498,4.212753378,0.572229815,1.02E-16,8.188105922,5.079491514,0.5748605,0.000412103
6.881949628,4.242847989,0.572229815,7.89E-17,8.211331577,5.094538202,0.574860884,-0.000384354
6.928671758,4.272942599,0.572229815,-1.14E-16,8.234557232,5.109584889,0.574860526,0.000358477
6.975393889,4.30303721,0.572229815,1.10E-15,8.257782887,5.124631577,0.57486086,-0.000334347
7.022116019,4.33313182,0.572229815,-3.57E-16,8.281008542,5.139678264,0.574860548,0.000311845
7.068838149,4.363226431,0.572229815,-4.38E-16,8.304234197,5.154724951,0.574860839,-0.000290863
7.115560279,4.393321041,0.572229815,-1.58E-16,8.327459852,5.169771639,0.574860568,0.000271298
7.16228241,4.423415652,0.572229815,1.31E-16,8.350685508,5.184818326,0.57486082,-0.000253055
7.20900454,4.453510263,0.572229815,3.77E-16,8.373911163,5.199865014,0.574860585,0.000236044
7.25572667,4.483604873,0.572229815,2.56E-16,8.397136818,5.214911701,0.574860804,-0.000220183
7.3024488,4.513699484,0.572229815,-3.67E-19,8.420362473,5.229958389,0.5748606,0.000205396
7.349170931,4.543794094,0.572229815,-9.72E-17,8.443588128,5.245005076,0.57486079,-0.000191608
7.395893061,4.573888705,0.572229815,-2.99E-16,8.466813783,5.260051764,0.574860613,0.000178755
7.442615191,4.603983316,0.572229815,-6.59E-16,8.490039438,5.275098451,0.574860778,-0.000166772
7.489337321,4.634077926,0.572229815,-2.74E-16,8.513265093,5.290145138,0.574860624,0.000155601
7.536059452,4.664172537,0.572229815,-4.95E-16,8.536490748,5.305191826,0.574860768,-0.000145189
7.582781582,4.694267147,0.572229815,-3.14E-16,8.559716403,5.320238513,0.574860634,0.000135484
7.629503712,4.724361758,0.572229815,-2.59E-16,8.582942058,5.335285201,0.574860759,-0.000126439
7.676225843,4.754456369,0.572229815,-4.15E-16,8.606167713,5.350331888,0.574860642,0.00011801
7.722947973,4.784550979,0.572229815,-8.32E-17,8.629393368,5.365378576,0.574860751,-0.000110156
7.769670103,4.81464559,0.572229815,8.85E-16,8.652619024,5.380425263,0.57486065,0.000102839
7.816392233,4.8447402,0.572229815,-2.27E-16,8.675844679,5.39547195,0.574860744,-9.60E-05
7.863114364,4.874834811,0.572229815,-8.47E-16,8.699070334,5.410518638,0.574860656,8.97E-05
7.909836494,4.904929422,0.572229815,-1.50E-16,8.722295989,5.425565325,0.574860738,-8.38E-05
7.956558624,4.935024032,0.572229815,-7.15E-16,8.745521644,5.440612013,0.574860662,7.83E-05
8.003280754,4.965118643,0.572229815,-4.25E-16,8.768747299,5.4556587,0.574860733,-7.31E-05
8.050002885,4.995213253,0.572229815,-4.45E-16,8.791972954,5.470705388,0.574860667,6.84E-05
8.096725015,5.025307864,0.572229815,-4.56E-16,8.815198609,5.485752075,0.574860728,-6.39E-05
8.143447145,5.055402475,0.572229815,-6.54E-16,8.838424264,5.500798763,0.574860671,5.98E-05
8.190169275,5.085497085,0.572229815,-8.68E-17,8.861649919,5.51584545,0.574860724,-5.60E-05
8.236891406,5.115591696,0.572229815,-3.76E-16,8.884875574,5.530892137,0.574860675,5.24E-05
8.283613536,5.145686306,0.572229815,1.70E-16,8.908101229,5.545938825,0.57486072,-4.91E-05
8.330335666,5.175780917,0.572229815,-7.81E-16,8.931326884,5.560985512,0.574860678,4.61E-05
8.377057797,5.205875528,0.572229815,-8.82E-16,8.95455254,5.5760322,0.574860717,-4.32E-05
8.423779927,5.235970138,0.572229815,1.75E-15,8.977778195,5.591078887,0.574860681,4.06E-05
8.470502057,5.266064749,0.572229815,-4.62E-16,9.00100385,5.606125575,0.574860715,-3.82E-05
8.517224187,5.296159359,0.572229815,-1.17E-15,9.024229505,5.621172262,0.574860684,3.59E-05
8.563946318,5.32625397,0.572229815,1.03E-16,9.04745516,5.636218949,0.574860712,-3.39E-05
8.610668448,5.35634858,0.572229815,-3.00E-16,9.070680815,5.651265637,0.574860686,3.20E-05
8.657390578,5.386443191,0.572229815,1.31E-17,9.09390647,5.666312324,0.57486071,-3.02E-05
8.704112708,5.416537802,0.572229815,1.83E-16,9.117132125,5.681359012,0.574860688,2.86E-05
8.750834839,5.446632412,0.572229815,-2.07E-18,9.14035778,5.696405699,0.574860708,-2.71E-05
8.797556969,5.476727023,0.572229815,9.90E-16,9.163583435,5.711452387,0.57486069,2.58E-05
8.844279099,5.506821633,0.572229815,8.75E-16,9.18680909,5.726499074,0.574860706,-2.46E-05
8.891001229,5.536916244,0.572229815,-1.22E-15,9.210034745,5.741545762,0.574860691,2.35E-05
8.93772336,5.567010855,0.572229815,-4.73E-16,9.2332604,5.756592449,0.574860705,-2.26E-05
8.98444549,5.597105465,0.572229815,3.42E-16,9.256486055,5.771639136,0.574860693,2.17E-05
9.03116762,5.627200076,0.572229815,-6.79E-16,9.279711711,5.786685824,0.574860703,-2.09E-05
9.077889751,5.657294686,0.572229815,-2.67E-16,9.302937366,5.801732511,0.574860694,2.03E-05
9.124611881,5.687389297,0.572229815,-2.38E-16,9.326163021,5.816779199,0.574860702,-1.97E-05
9.171334011,5.717483908,0.572229815,-3.80E-16,9.349388676,5.831825886,0.574860696,1.93E-05
9.218056141,5.747578518,0.572229815,-5.45E-16,9.372614331,5.846872574,0.574860701,-1.89E-05
9.264778272,5.777673129,0.572229815,9.59E-18,9.395839986,5.861919261,0.574860697,1.87E-05
9.311500402,5.807767739,0.572229815,1.64E-16,9.419065641,5.876965948,0.574860699,-1.85E-05
9.358222532,5.83786235,0.572229815,-5.19E-17,9.442291296,5.892012636,0.574860698,1.84E-05
0,0,-0.1,1,-6.325,2.8,1.570796327,0.999999832
0.074015458,0.016726588,0.544508822,1,-6.325799787,2.839984002,1.610796322,0.999999919
0.140680763,0.060834475,0.624508843,1,-6.328197867,2.879904038,1.650796318,0.999999913
0.203607984,0.110128831,0.704508863,1,-6.332190405,2.919696245,1.690796315,0.999999907
0.262394601,0.16429434,0.784508884,1,-6.337771012,2.959296964,1.730796311,0.999999901
0.31666458,0.222984527,0.864508905,1,-6.344930762,2.998642841,1.770796307,0.999999894
0.366070777,0.285823975,0.944508926,1,-6.353658201,3.037670932,1.810796302,0.999999885
0.410297162,0.352410727,1.024508947,1,-6.363939365,3.076318801,1.850796298,0.999999876
0.449060838,0.422318853,1.104508968,1,-6.375757808,3.114524618,1.890796293,0.999999866
0.482113847,0.495101181,1.184508988,1,-6.389094622,3.152227264,1.930796287,0.999999854
0.509244764,0.570292151,1.264509009,1,-6.403928472,3.189366421,1.970796281,0.999999841
