x_final,y_final,x,y,theta,input
-1.33,0.9836,0.666770583,1.740756553,2.4,1
-1.33,0.9836,0.659329469,1.747437109,2.41,1
-1.33,0.9836,0.651821923,1.754042921,2.42,1
-1.33,0.9836,0.644248696,1.760573329,2.43,1
-1.33,0.9836,0.636610544,1.767027679,2.44,1
-1.33,0.9836,0.628908231,1.773405326,2.45,1
-1.33,0.9836,0.621142528,1.779705632,2.46,1
-1.33,0.9836,0.613314212,1.785927967,2.47,1
-1.33,0.9836,0.605424064,1.79207171,2.48,1
-1.33,0.9836,0.597472875,1.798136245,2.49,1
-1.33,0.9836,0.589461439,1.804120967,2.5,1
-1.33,0.9836,0.581390557,1.810025276,2.51,1
-1.33,0.9836,0.573261037,1.815848582,2.52,1
-1.33,0.9836,0.565073691,1.821590304,2.53,1
-1.33,0.9836,0.556829338,1.827249866,2.54,1
-1.33,0.9836,0.548528802,1.832826703,2.55,1
-1.33,0.9836,0.540172915,1.838320258,2.56,1
-1.33,0.9836,0.53176251,1.84372998,2.57,1
-1.33,0.9836,0.52329843,1.849055329,2.58,1
-1.33,0.9836,0.51478152,1.854295772,2.59,1
-1.33,0.9836,0.506212632,1.859450786,2.6,1
-1.33,0.9836,0.497592624,1.864519855,2.61,1
-1.33,0.9836,0.488922357,1.869502471,2.62,1
-1.33,0.9836,0.480202698,1.874398137,2.63,1
-1.33,0.9836,0.471434519,1.879206363,2.64,1
-1.33,0.9836,0.462618697,1.883926669,2.65,1
-1.33,0.9836,0.453756113,1.888558581,2.66,1
-1.33,0.9836,0.444847655,1.893101638,2.67,1
-1.33,0.9836,0.435894212,1.897555385,2.68,1
-1.33,0.9836,0.426896679,1.901919375,2.69,1
-1.33,0.9836,0.417855958,1.906193174,2.7,1
-1.33,0.9836,0.408772951,1.910376354,2.71,1
-1.33,0.9836,0.399648568,1.914468495,2.72,1
-1.33,0.9836,0.39048372,1.91846919,2.73,1
-1.33,0.9836,0.381279323,1.922378038,2.74,1
-1.33,0.9836,0.3720363,1.926194648,2.75,1
-1.33,0.9836,0.362755573,1.929918638,2.76,1
-1.33,0.9836,0.35343807,1.933549637,2.77,1
-1.33,0.9836,0.344084724,1.93708728,2.78,1
-1.33,0.9836,0.33469647,1.940531215,2.79,1
-1.33,0.9836,0.325274247,1.943881096,2.8,1
-1.33,0.9836,0.315818996,1.94713659,2.81,1
-1.33,0.9836,0.306331664,1.950297369,2.82,1
-1.33,0.9836,0.296813199,1.953363119,2.83,1
-1.33,0.9836,0.287264553,1.956333533,2.84,1
-1.33,0.9836,0.277686681,1.959208313,2.85,1
-1.33,0.9836,0.26808054,1.961987172,2.86,1
-1.33,0.9836,0.258447091,1.964669832,2.87,1
-1.33,0.9836,0.248787298,1.967256026,2.88,1
-1.33,0.9836,0.239102126,1.969745494,2.89,1
-1.33,0.9836,0.229392545,1.972137987,2.9,1
-1.33,0.9836,0.219659524,1.974433267,2.91,1
-1.33,0.9836,0.209904037,1.976631103,2.92,1
-1.33,0.9836,0.200127061,1.978731276,2.93,1
-1.33,0.9836,0.190329572,1.980733576,2.94,1
-1.33,0.9836,0.180512549,1.982637802,2.95,1
-1.33,0.9836,0.170676976,1.984443765,2.96,1
-1.33,0.9836,0.160823836,1.986151283,2.97,1
-1.33,0.9836,0.150954113,1.987760186,2.98,1
-1.33,0.9836,0.141068795,1.989270313,2.99,1
-1.33,0.9836,0.13116887,1.990681513,3,1
-1.33,0.9836,0.121255328,1.991993645,3.01,1
-1.33,0.9836,0.111329161,1.993206578,3.02,1
-1.33,0.9836,0.101391361,1.99432019,3.03,1
-1.33,0.9836,0.091442922,1.99533437,3.04,1
-1.33,0.9836,0.081484838,1.996249016,3.05,1
-1.33,0.9836,0.071518107,1.997064038,3.06,1
-1.33,0.9836,0.061543723,1.997779353,3.07,1
-1.33,0.9836,0.051562686,1.99839489,3.08,1
-1.33,0.9836,0.041575992,1.998910587,3.09,1
-1.33,0.9836,0.03158464,1.999326394,3.1,1
-1.33,0.9836,0.02158963,1.999642268,3.11,1
-1.33,0.9836,0.011591961,1.999858178,3.12,1
-1.33,0.9836,0.001592633,1.999974102,3.13,1
-1.33,0.9836,-0.008407354,1.999990028,3.14,1
-1.33,0.9836,-0.018407001,1.999905956,3.15,1
-1.33,0.9836,-0.028405306,1.999721893,3.16,1
-1.33,0.9836,-0.038401272,1.999437858,3.17,1
-1.33,0.9836,-0.048393897,1.999053878,3.18,1
-1.33,0.9836,-0.058382183,1.998569994,3.19,1
-1.33,0.9836,-0.068365131,1.997986253,3.2,1
-1.33,0.9836,-0.078341742,1.997302713,3.21,1
-1.33,0.9836,-0.088311019,1.996519442,3.22,1
-1.33,0.9836,-0.098271965,1.99563652,3.23,1
-1.33,0.9836,-0.108223585,1.994654034,3.24,1
-1.33,0.9836,-0.118164881,1.993572083,3.25,1
-1.33,0.9836,-0.128094862,1.992390774,3.26,1
-1.33,0.9836,-0.138012533,1.991110226,3.27,1
-1.33,0.9836,-0.147916902,1.989730568,3.28,1
-1.33,0.9836,-0.157806981,1.988251936,3.29,1
-1.33,0.9836,-0.167681778,1.986674479,3.3,1
-1.33,0.9836,-0.177540308,1.984998355,3.31,1
-1.33,0.9836,-0.187381584,1.98322373,3.32,1
-1.33,0.9836,-0.197204622,1.981350784,3.33,1
-1.33,0.9836,-0.207008439,1.979379702,3.34,1
-1.33,0.9836,-0.216792056,1.977310682,3.35,1
-1.33,0.9836,-0.226554494,1.975143932,3.36,1
-1.33,0.9836,-0.236294776,1.972879666,3.37,1
-1.33,0.9836,-0.246011929,1.970518113,3.38,1
-1.33,0.9836,-0.255704982,1.968059508,3.39,1
-1.33,0.9836,-0.265372963,1.965504097,3.4,1
-1.33,0.9836,-0.275014908,1.962852136,3.41,1
-1.33,0.9836,-0.284629852,1.960103889,3.42,1
-1.33,0.9836,-0.294216833,1.957259632,3.43,1
-1.33,0.9836,-0.303774892,1.954319649,3.44,1
-1.33,0.9836,-0.313303074,1.951284234,3.45,1
-1.33,0.9836,-0.322800426,1.94815369,3.46,1
-1.33,0.9836,-0.332265999,1.944928331,3.47,1
-1.33,0.9836,-0.341698845,1.941608479,3.48,1
-1.33,0.9836,-0.351098021,1.938194466,3.49,1
-1.33,0.9836,-0.360462588,1.934686634,3.5,1
-1.33,0.9836,-0.369791609,1.931085333,3.51,1
-1.33,0.9836,-0.379084151,1.927390923,3.52,1
-1.33,0.9836,-0.388339285,1.923603775,3.53,1
-1.33,0.9836,-0.397556085,1.919724265,3.54,1
-1.33,0.9836,-0.40673363,1.915752784,3.55,1
